Country,Currency,Conversion Rate
United States of America,USD,$1.00 
United Kingdom,GBP,$1.26 
Canada,CAD,$0.72 
Australia,AUD,$0.63 
Germany,EUR,$1.12 
Denmark,DKK,$0.15 
Netherlands,EUR,$1.12 
France,EUR,$1.12 
Mexico,MXN,$0.05 
Spain,EUR,$1.12 
Norway,NOK,$0.10 
Italy,EUR,$1.12 
Hong Kong,HKD,$0.13 
Sweden,SEK,$0.10 
New Zealand,NZD,$0.62 
Austria,EUR,$1.12 
Ireland,EUR,$1.12 
Singapore,SGD,$0.71 
Switzerland,CHF,$1.06 
Belgium,EUR,$1.12 
Japan,JPY,$0.01 
Luxembourg,EUR,$1.12 
